line,character,dialogue,episode
348,BEN,"Only passengers.  Myself, the boy, two droids, and no questions asked.",IV
349,HAN,What is it?  Some kind of local trouble?,IV
350,BEN,Let s just say we d like to avoid any Imperial entanglements.,IV
351,HAN,"Well, that s the real trick, isn t it?  And it s going to cost you something extra.  Ten thousand in advance.",IV
352,LUKE,Ten thousand?  We could almost buy our own ship for that!,IV
353,HAN,"But who s going to fly it, kid!  You?",IV
354,LUKE,You bet I could.  I m not such a bad pilot myself!  We don t have to sit here and listen...,IV
355,BEN,"We haven t that much with us.  But we could pay you two thousand now, plus fifteen when we reach Alderaan.",IV
356,HAN,"Seventeen, huh!",IV
357,HAN,Okay.  You guys got yourself a ship.  We ll leave as soon as you re ready.  Docking bay Ninety-four.,IV
358,BEN,Ninety-four.,IV
