line,character,dialogue,episode
392,HAN,"I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I m all right.",V
393,LEIA,Occasionally  maybe...when you aren t  acting like a scoundrel.,V
394,HAN,Scoundrel? Scoundrel? I like the sound of that.,V
395,LEIA,Stop that.,V
396,HAN,Stop what?,V
397,LEIA,Stop that! My hands are dirty.,V
398,HAN,"My hands are dirty, too. What are you afraid of?",V
399,LEIA,Afraid?,V
400,HAN,You re trembling.,V
401,LEIA,I m not trembling.,V
402,HAN,You like me because I m a scoundrel. There aren t enough  scoundrels in your life.,V
403,LEIA,I happen to like nice men.,V
404,HAN,I m a nice man.,V
405,LEIA,"No, you re not. You re...",V
406,THREEPIO,"Sir, sir! I ve isolated the reverse power flux coupling.",V
407,HAN,Thank you. Thank you very much.,V
408,THREEPIO,"Oh, you re perfectly welcome, sir.",V
409,NEEDA,"...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we ve sustained, they must have been destroyed.",V
410,VADER,"No, Captain, they re alive. I want every ship available to  sweep the asteroid field until they are found.",V
411,PIETT,Lord Vader.,V
412,VADER,"Yes, Admiral, what is it?",V
413,PIETT,The Emperor commands you make contact with him.,V
414,VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.,V
415,PIETT,"Yes, my lord.",V
416,VADER,"What is thy bidding, my master?",V
417,EMPEROR,There is a great disturbance in the Force.,V
418,VADER,I have felt it.,V
419,EMPEROR,We have a new enemy -- Luke Skywalker.,V
420,VADER,"Yes, my master.",V
421,EMPEROR,He could destroy us.,V
422,VADER,He s just a boy. Obi-Wan can no longer help him.,V
423,EMPEROR,The Force is strong with him. The son of Skywalker must not  become a Jedi.,V
424,VADER,"If he could be turned, he would become a powerful ally.",V
425,EMPEROR,Yes. Yes. He would be a great asset. Can it be done?,V
426,VADER,"He will join us or die, my master.",V
427,LUKE,"Look, I m sure it s delicious. I just don t understand why we  can t see Yoda now.",V
428,CREATURE,"Patience! For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm? Good, hmm?",V
429,LUKE,How far away is Yoda? Will it take us long to get there?,V
430,CREATURE,"Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi? Hm?",V
431,LUKE,"Mostly because of my father, I guess.",V
432,CREATURE,"Ah, your father. Powerful Jedi was he, powerful Jedi, mmm.",V
433,LUKE,"Oh, come on. How could you know my father? You  don t even know who I am.  Oh, I don t even know what I m doing here. We re wasting our time.",V
434,CREATURE,I cannot teach him. The boy has no patience.,V
435,BEN,He will learn patience.,V
436,YODA,"Hmmm. Much anger in him, like his father.",V
437,BEN,Was I any different when you taught me?,V
438,YODA,Hah. He is not ready.,V
439,LUKE,"Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I m  ready.",V
440,YODA,"Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!",V
441,BEN,"So was I, if you ll remember.",V
442,YODA,"He is too old. Yes, too old to begin the training.",V
443,LUKE,But I ve learned so much.,V
444,YODA,Will he finished what he begins?,V
445,LUKE,I won t fail you -- I m not afraid.,V
446,YODA,"Oh, you will be. You will be.",V
447,THREEPIO,"Sir, if I may venture an opinion...",V
448,HAN,"I m not really interested in your opinion, Threepio.",V
449,LEIA,There s something out there.,V
450,HAN,Where?,V
451,LEIA,"Outside, in the cave.",V
452,THREEPIO,There it is. Listen! Listen!,V
453,HAN,I m going out there.,V
454,LEIA,Are you crazy?!,V
455,HAN,I just got this bucket back together. I m not going to let  something tear it apart.,V
456,LEIA,Then I m going with you.,V
457,THREEPIO,"I think it might be better if I stay here and guard the  ship.  Oh, no.",V
458,LEIA,This ground sure feels strange. It doesn t feel like rock at  all.,V
